City,Latitude,Longitude,City_ID,Country_ID
Mlawa,53.11669921875,20.36669921875,1,1
Mielec,50.283298492431641,21.433300018310547,2,1
Rzeszów,50.049999237060547,22,3,1
Ruda Slaska,50.262798309326172,18.853599548339844,4,1
Fulda,50.552799224853516,9.6774997711181641,5,2
Osterode,51.728599548339844,10.252200126647949,6,2
Geldern,51.519699096679688,6.3324999809265137,7,2
Alsdorf,50.874401092529297,6.1614999771118164,8,2
Ilmenau,50.687198638916016,10.914199829101563,9,2
Taunusstein,50.143501281738281,8.1605997085571289,10,2
Gummersbach,51.033298492431641,7.5666999816894531,11,2
Derne,51.666698455810547,7.6167001724243164,12,2
Erkrath,51.223899841308594,6.9147000312805176,13,2
Olecko,54.033298492431641,22.5,14,1
Zabrze,50.299999237060547,18.783300399780273,15,1
Lomza,53.183300018310547,22.08329963684082,16,1
Lwówek Slaski,51.11669921875,15.58329963684082,17,1
Niepolomice,50.033901214599609,20.217199325561523,18,1
Chojnów,51.266700744628906,15.933300018310547,19,1
Gdynia,54.518901824951172,18.531900405883789,20,1
Lódz,51.776901245117188,19.454700469970703,21,1
Hemer,51.38330078125,7.7666997909545898,22,2
Paderborn,51.716701507568359,8.7666997909545898,23,2
Mettmann,51.25,6.9667000770568848,24,2
Oer-Erkenschwick,51.642200469970703,7.2508001327514648,25,2
Braunschweig,52.269199371337891,10.521100044250488,26,2
Rottweil,48.168098449707031,8.624699592590332,27,2
Dinslaken,51.566699981689453,6.7333002090454102,28,2
Haan,51.193099975585938,7.0131001472473145,29,2
Herzogenrath,50.86669921875,6.0999999046325684,30,2
Düren,50.799999237060547,6.4833002090454102,31,2
Weilheim,47.833301544189453,11.133299827575684,32,2
Czeladz,50.333301544189453,19.08329963684082,33,1
Krotoszyn,51.696998596191406,17.435699462890625,34,1
Bierun Stary,50.089698791503906,19.092800140380859,35,1
Haldensleben,52.283298492431641,11.41670036315918,36,2
Wunstorf,52.423801422119141,9.4358997344970703,37,2
Sankt Augustin,50.770000457763672,7.1866998672485352,38,2
Kelkheim (Taunus),50.13800048828125,8.4525003433227539,39,2
Plettenberg,51.212799072265625,7.8715000152587891,40,2
Wedel,53.583301544189453,9.6999998092651367,41,2
Schwäbisch Gmünd,48.799999237060547,9.8000001907348633,42,2
Straubing,48.877201080322266,12.575799942016602,43,2
Güstrow,53.793899536132813,12.176400184631348,44,2
Sonneberg,50.349998474121094,11.16670036315918,45,2
Gliwice,50.297599792480469,18.676599502563477,46,1
Nowa Sól,51.799999237060547,15.716699600219727,47,1
Brzesko,49.966701507568359,20.61669921875,48,1
Inowroclaw,52.795799255371094,18.261100769042969,49,1
Sömmerda,51.161701202392578,11.116900444030762,50,2
Trier,49.756698608398438,6.6413998603820801,51,2
